"";"D";"df";"p";"X2";"pX2";"AIC"
"M1";1249,88837566461;67;0;1672,09105291216;0;1538,03168602434
"M2";336,124541249286;67;0;374,185620704348;0;624,267851609018
"M3";303,051047470414;66;0;323,996219712549;0;593,194357830147
"M4";306,469849234087;66;0;341,252501682626;0;596,613159593819
"M5";130,910392162467;65;2,42062827460199e-06;132,411303143207;1,62122145264121e-06;423,053702522199
"M6";261,359963468268;61;0;271,743439580705;0;561,503273828
"M7";272,571338215402;65;0;291,864800335131;0;564,714648575134
"M8";92,0791562580664;64;0,0123028341497591;89,8510865748625;0,0182482264671361;386,222466617799
"M9";209,186267093511;60;0;204,725095746916;0;511,329577453243
"M10";107,693975101424;64;0,000520565608560286;113,487334232042;0,000137685314458902;401,837285461156
"M11";241,576940086004;60;0;249,24629906447;0;543,720250445736
"M12";68,2728963472379;63;0,302829442361483;71,4044768961993;0,218693816346441;364,41620670697
"M13";191,037211682285;59;7,7715611723761e-16;185,222181819199;5,88418203051333e-15;495,180522042017
"M14";48,5110486530817;57;0,780848229920634;48,343490731719;0,785980505237763;356,654359012814
"M15";48,5079908508983;56;0,751253636300623;48,3800116479463;0,755454255026928;358,651301210631
"M16";46,9365414893246;55;0,772028747823173;47,1554861816648;0,764971178187538;359,079851849057
"M17";43,5804221378071;51;0,760134426530057;42,8704124590327;0,78383431441879;363,723732497539
"M18";46,4229211655729;55;0,788191566156864;46,8514371359664;0,774745439468578;358,566231525305
"M19";41,3617259829064;51;0,830191786732564;41,4900369442766;0,82647527960515;361,505036342639
"M20";33,1205280724675;47;0,937301843983954;32,3121761878907;0,94938658217864;361,2638384322
"M21";44,314354790754;50;0,699960541062307;45,9243082751745;0,637584429268576;366,457665150486
