trimestre,date,desocupacao
jan-fev-mar 2012,2012-01-01,8
fev-mar-abr 2012,2012-02-01,7.8
mar-abr-mai 2012,2012-03-01,7.7
abr-mai-jun 2012,2012-04-01,7.6
mai-jun-jul 2012,2012-05-01,7.5
jun-jul-ago 2012,2012-06-01,7.4
jul-ago-set 2012,2012-07-01,7.1
ago-set-out 2012,2012-08-01,7
set-out-nov 2012,2012-09-01,6.8
out-nov-dez 2012,2012-10-01,6.9
nov-dez-jan 2013,2012-11-01,7.3
dez-jan-fev 2013,2012-12-01,7.8
jan-fev-mar 2013,2013-01-01,8.1
fev-mar-abr 2013,2013-02-01,7.9
mar-abr-mai 2013,2013-03-01,7.7
abr-mai-jun 2013,2013-04-01,7.5
mai-jun-jul 2013,2013-05-01,7.4
jun-jul-ago 2013,2013-06-01,7.2
jul-ago-set 2013,2013-07-01,7
ago-set-out 2013,2013-08-01,6.8
set-out-nov 2013,2013-09-01,6.6
out-nov-dez 2013,2013-10-01,6.3
nov-dez-jan 2014,2013-11-01,6.5
dez-jan-fev 2014,2013-12-01,6.8
jan-fev-mar 2014,2014-01-01,7.2
fev-mar-abr 2014,2014-02-01,7.2
mar-abr-mai 2014,2014-03-01,7.1
abr-mai-jun 2014,2014-04-01,6.9
mai-jun-jul 2014,2014-05-01,7
jun-jul-ago 2014,2014-06-01,7
jul-ago-set 2014,2014-07-01,6.9
ago-set-out 2014,2014-08-01,6.7
set-out-nov 2014,2014-09-01,6.6
out-nov-dez 2014,2014-10-01,6.6
nov-dez-jan 2015,2014-11-01,6.9
dez-jan-fev 2015,2014-12-01,7.5
jan-fev-mar 2015,2015-01-01,8
fev-mar-abr 2015,2015-02-01,8.1
mar-abr-mai 2015,2015-03-01,8.3
abr-mai-jun 2015,2015-04-01,8.4
mai-jun-jul 2015,2015-05-01,8.7
jun-jul-ago 2015,2015-06-01,8.9
jul-ago-set 2015,2015-07-01,9
ago-set-out 2015,2015-08-01,9.1
set-out-nov 2015,2015-09-01,9.1
out-nov-dez 2015,2015-10-01,9.1
nov-dez-jan 2016,2015-11-01,9.6
dez-jan-fev 2016,2015-12-01,10.3
jan-fev-mar 2016,2016-01-01,11.1
fev-mar-abr 2016,2016-02-01,11.3
mar-abr-mai 2016,2016-03-01,11.3
abr-mai-jun 2016,2016-04-01,11.4
mai-jun-jul 2016,2016-05-01,11.7
jun-jul-ago 2016,2016-06-01,11.9
jul-ago-set 2016,2016-07-01,11.9
ago-set-out 2016,2016-08-01,11.9
set-out-nov 2016,2016-09-01,12
out-nov-dez 2016,2016-10-01,12.2
nov-dez-jan 2017,2016-11-01,12.7
dez-jan-fev 2017,2016-12-01,13.3
jan-fev-mar 2017,2017-01-01,13.9
fev-mar-abr 2017,2017-02-01,13.7
mar-abr-mai 2017,2017-03-01,13.4
abr-mai-jun 2017,2017-04-01,13.1
mai-jun-jul 2017,2017-05-01,12.9
jun-jul-ago 2017,2017-06-01,12.7
jul-ago-set 2017,2017-07-01,12.5
ago-set-out 2017,2017-08-01,12.3
set-out-nov 2017,2017-09-01,12.1
out-nov-dez 2017,2017-10-01,11.9
nov-dez-jan 2018,2017-11-01,12.3
dez-jan-fev 2018,2017-12-01,12.7
jan-fev-mar 2018,2018-01-01,13.2
fev-mar-abr 2018,2018-02-01,13
mar-abr-mai 2018,2018-03-01,12.8
abr-mai-jun 2018,2018-04-01,12.6
mai-jun-jul 2018,2018-05-01,12.4
jun-jul-ago 2018,2018-06-01,12.3
jul-ago-set 2018,2018-07-01,12
ago-set-out 2018,2018-08-01,11.9
set-out-nov 2018,2018-09-01,11.7
out-nov-dez 2018,2018-10-01,11.7
nov-dez-jan 2019,2018-11-01,12.2
dez-jan-fev 2019,2018-12-01,12.6
jan-fev-mar 2019,2019-01-01,12.8
fev-mar-abr 2019,2019-02-01,12.6
mar-abr-mai 2019,2019-03-01,12.4
abr-mai-jun 2019,2019-04-01,12.1
mai-jun-jul 2019,2019-05-01,12
jun-jul-ago 2019,2019-06-01,11.9
jul-ago-set 2019,2019-07-01,11.9
ago-set-out 2019,2019-08-01,11.8
set-out-nov 2019,2019-09-01,11.3
out-nov-dez 2019,2019-10-01,11.1
nov-dez-jan 2020,2019-11-01,11.4
dez-jan-fev 2020,2019-12-01,11.8
jan-fev-mar 2020,2020-01-01,12.4
fev-mar-abr 2020,2020-02-01,12.7
mar-abr-mai 2020,2020-03-01,13.1
abr-mai-jun 2020,2020-04-01,13.6
mai-jun-jul 2020,2020-05-01,14.1
jun-jul-ago 2020,2020-06-01,14.8
jul-ago-set 2020,2020-07-01,14.9
ago-set-out 2020,2020-08-01,14.6
set-out-nov 2020,2020-09-01,14.4
out-nov-dez 2020,2020-10-01,14.2
nov-dez-jan 2021,2020-11-01,14.5
dez-jan-fev 2021,2020-12-01,14.6
jan-fev-mar 2021,2021-01-01,14.9
fev-mar-abr 2021,2021-02-01,14.8
mar-abr-mai 2021,2021-03-01,14.7
abr-mai-jun 2021,2021-04-01,14.2
mai-jun-jul 2021,2021-05-01,13.7
jun-jul-ago 2021,2021-06-01,13.1
jul-ago-set 2021,2021-07-01,12.6
ago-set-out 2021,2021-08-01,12.1
set-out-nov 2021,2021-09-01,11.6
out-nov-dez 2021,2021-10-01,11.1
nov-dez-jan 2022,2021-11-01,11.2
dez-jan-fev 2022,2021-12-01,11.2
jan-fev-mar 2022,2022-01-01,11.1
fev-mar-abr 2022,2022-02-01,10.5
mar-abr-mai 2022,2022-03-01,9.8
abr-mai-jun 2022,2022-04-01,9.3
mai-jun-jul 2022,2022-05-01,9.1
jun-jul-ago 2022,2022-06-01,8.9
jul-ago-set 2022,2022-07-01,8.7
ago-set-out 2022,2022-08-01,8.3
set-out-nov 2022,2022-09-01,8.1
out-nov-dez 2022,2022-10-01,7.9
nov-dez-jan 2023,2022-11-01,8.4
dez-jan-fev 2023,2022-12-01,8.6
jan-fev-mar 2023,2023-01-01,8.8
fev-mar-abr 2023,2023-02-01,8.5
mar-abr-mai 2023,2023-03-01,8.3
abr-mai-jun 2023,2023-04-01,8
